ISO3,Country,Dataset,Source,Type,Access,TemporalStart,TemporalEnd,Frequency,Coverage
CYP,Cyprus,WDPA (Protected Planet),UNEP-WCMC & IUCN,Vector protected areas,Registration,2005,Present,Monthly,Available
CYP,Cyprus,WorldPop/GHS-POP,WorldPop / JRC (GHS-POP),Raster population density,Open,2000,Present,1–5 years,Available
CYP,Cyprus,FEMA NFHL,FEMA,Vector flood hazard zones,Open,2003,Present,Rolling,N/A
CYP,Cyprus,USGS NHD,USGS,Vector hydrography,Open,2000,Present,Rolling,N/A
CYP,Cyprus,NPMS,PHMSA,Vector pipelines,Restricted,2002,Present,Annual/Rolling,N/A
CYP,Cyprus,LiDAR DEM 1m,National/Provincial/State programs,Raster DEM (1m),Open/Restricted,2000,Present,Project-based,Varies
CZE,Czechia,Sentinel-2 L2A,ESA via Microsoft Planetary Computer Earth Search,"Raster multispectral (13 bands, 10/20/60m)",Open,2015-06,Present,~5 days,Available
CZE,Czechia,ESA WorldCover 10m,ESA (AWS S3),Raster land cover (10m),Open,2020,2021,Annual,Available
CZE,Czechia,Copernicus DEM,Copernicus,Raster DEM (30m/90m),Registration,2020,Present,Irregular,Available
CZE,Czechia,Global Surface Water (GSW),JRC/Google,Raster water occurrence/seasonality,Open,1984,Present,Annual,Available
CZE,Czechia,OpenStreetMap,OpenStreetMap,Vector roads/railways/waterways/landuse/buildings,Open,2004,Present,Continuous,Available
CZE,Czechia,WDPA (Protected Planet),UNEP-WCMC & IUCN,Vector protected areas,Registration,2005,Present,Monthly,Available
CZE,Czechia,WorldPop/GHS-POP,WorldPop / JRC (GHS-POP),Raster population density,Open,2000,Present,1–5 years,Available
CZE,Czechia,FEMA NFHL,FEMA,Vector flood hazard zones,Open,2003,Present,Rolling,N/A
CZE,Czechia,USGS NHD,USGS,Vector hydrography,Open,2000,Present,Rolling,N/A
CZE,Czechia,NPMS,PHMSA,Vector pipelines,Restricted,2002,Present,Annual/Rolling,N/A
CZE,Czechia,LiDAR DEM 1m,National/Provincial/State programs,Raster DEM (1m),Open/Restricted,2000,Present,Project-based,Varies
CIV,Côte d'Ivoire,Sentinel-2 L2A,ESA via Microsoft Planetary Computer Earth Search,"Raster multispectral (13 bands, 10/20/60m)",Open,2015-06,Present,~5 days,Available
CIV,Côte d'Ivoire,ESA WorldCover 10m,ESA (AWS S3),Raster land cover (10m),Open,2020,2021,Annual,Available
CIV,Côte d'Ivoire,Copernicus DEM,Copernicus,Raster DEM (30m/90m),Registration,2020,Present,Irregular,Available
CIV,Côte d'Ivoire,Global Surface Water (GSW),JRC/Google,Raster water occurrence/seasonality,Open,1984,Present,Annual,Available
CIV,Côte d'Ivoire,OpenStreetMap,OpenStreetMap,Vector roads/railways/waterways/landuse/buildings,Open,2004,Present,Continuous,Available
CIV,Côte d'Ivoire,WDPA (Protected Planet),UNEP-WCMC & IUCN,Vector protected areas,Registration,2005,Present,Monthly,Available
CIV,Côte d'Ivoire,WorldPop/GHS-POP,WorldPop / JRC (GHS-POP),Raster population density,Open,2000,Present,1–5 years,Available
CIV,Côte d'Ivoire,FEMA NFHL,FEMA,Vector flood hazard zones,Open,2003,Present,Rolling,N/A
CIV,Côte d'Ivoire,USGS NHD,USGS,Vector hydrography,Open,2000,Present,Rolling,N/A
CIV,Côte d'Ivoire,NPMS,PHMSA,Vector pipelines,Restricted,2002,Present,Annual/Rolling,N/A
CIV,Côte d'Ivoire,LiDAR DEM 1m,National/Provincial/State programs,Raster DEM (1m),Open/Restricted,2000,Present,Project-based,Varies
DNK,Denmark,Sentinel-2 L2A,ESA via Microsoft Planetary Computer Earth Search,"Raster multispectral (13 bands, 10/20/60m)",Open,2015-06,Present,~5 days,Available
DNK,Denmark,ESA WorldCover 10m,ESA (AWS S3),Raster land cover (10m),Open,2020,2021,Annual,Available
DNK,Denmark,Copernicus DEM,Copernicus,Raster DEM (30m/90m),Registration,2020,Present,Irregular,Available
DNK,Denmark,Global Surface Water (GSW),JRC/Google,Raster water occurrence/seasonality,Open,1984,Present,Annual,Available
DNK,Denmark,OpenStreetMap,OpenStreetMap,Vector roads/railways/waterways/landuse/buildings,Open,2004,Present,Continuous,Available
DNK,Denmark,WDPA (Protected Planet),UNEP-WCMC & IUCN,Vector protected areas,Registration,2005,Present,Monthly,Available
DNK,Denmark,WorldPop/GHS-POP,WorldPop / JRC (GHS-POP),Raster population density,Open,2000,Present,1–5 years,Available
DNK,Denmark,FEMA NFHL,FEMA,Vector flood hazard zones,Open,2003,Present,Rolling,N/A
DNK,Denmark,USGS NHD,USGS,Vector hydrography,Open,2000,Present,Rolling,N/A
DNK,Denmark,NPMS,PHMSA,Vector pipelines,Restricted,2002,Present,Annual/Rolling,N/A
DNK,Denmark,LiDAR DEM 1m,National/Provincial/State programs,Raster DEM (1m),Open/Restricted,2000,Present,Project-based,Varies
DJI,Djibouti,Sentinel-2 L2A,ESA via Microsoft Planetary Computer Earth Search,"Raster multispectral (13 bands, 10/20/60m)",Open,2015-06,Present,~5 days,Available
DJI,Djibouti,ESA WorldCover 10m,ESA (AWS S3),Raster land cover (10m),Open,2020,2021,Annual,Available
DJI,Djibouti,Copernicus DEM,Copernicus,Raster DEM (30m/90m),Registration,2020,Present,Irregular,Available
DJI,Djibouti,Global Surface Water (GSW),JRC/Google,Raster water occurrence/seasonality,Open,1984,Present,Annual,Available
DJI,Djibouti,OpenStreetMap,OpenStreetMap,Vector roads/railways/waterways/landuse/buildings,Open,2004,Present,Continuous,Available
DJI,Djibouti,WDPA (Protected Planet),UNEP-WCMC & IUCN,Vector protected areas,Registration,2005,Present,Monthly,Available
DJI,Djibouti,WorldPop/GHS-POP,WorldPop / JRC (GHS-POP),Raster population density,Open,2000,Present,1–5 years,Available
DJI,Djibouti,FEMA NFHL,FEMA,Vector flood hazard zones,Open,2003,Present,Rolling,N/A
DJI,Djibouti,USGS NHD,USGS,Vector hydrography,Open,2000,Present,Rolling,N/A
DJI,Djibouti,NPMS,PHMSA,Vector pipelines,Restricted,2002,Present,Annual/Rolling,N/A
DJI,Djibouti,LiDAR DEM 1m,National/Provincial/State programs,Raster DEM (1m),Open/Restricted,2000,Present,Project-based,Varies
DMA,Dominica,Sentinel-2 L2A,ESA via Microsoft Planetary Computer Earth Search,"Raster multispectral (13 bands, 10/20/60m)",Open,2015-06,Present,~5 days,Available
DMA,Dominica,ESA WorldCover 10m,ESA (AWS S3),Raster land cover (10m),Open,2020,2021,Annual,Available
DMA,Dominica,Copernicus DEM,Copernicus,Raster DEM (30m/90m),Registration,2020,Present,Irregular,Available
DMA,Dominica,Global Surface Water (GSW),JRC/Google,Raster water occurrence/seasonality,Open,1984,Present,Annual,Available
DMA,Dominica,OpenStreetMap,OpenStreetMap,Vector roads/railways/waterways/landuse/buildings,Open,2004,Present,Continuous,Available
DMA,Dominica,WDPA (Protected Planet),UNEP-WCMC & IUCN,Vector protected areas,Registration,2005,Present,Monthly,Available
DMA,Dominica,WorldPop/GHS-POP,WorldPop / JRC (GHS-POP),Raster population density,Open,2000,Present,1–5 years,Available
DMA,Dominica,FEMA NFHL,FEMA,Vector flood hazard zones,Open,2003,Present,Rolling,N/A
DMA,Dominica,USGS NHD,USGS,Vector hydrography,Open,2000,Present,Rolling,N/A
DMA,Dominica,NPMS,PHMSA,Vector pipelines,Restricted,2002,Present,Annual/Rolling,N/A
DMA,Dominica,LiDAR DEM 1m,National/Provincial/State programs,Raster DEM (1m),Open/Restricted,2000,Present,Project-based,Varies
DOM,Dominican Republic,Sentinel-2 L2A,ESA via Microsoft Planetary Computer Earth Search,"Raster multispectral (13 bands, 10/20/60m)",Open,2015-06,Present,~5 days,Available
DOM,Dominican Republic,ESA WorldCover 10m,ESA (AWS S3),Raster land cover (10m),Open,2020,2021,Annual,Available
DOM,Dominican Republic,Copernicus DEM,Copernicus,Raster DEM (30m/90m),Registration,2020,Present,Irregular,Available
DOM,Dominican Republic,Global Surface Water (GSW),JRC/Google,Raster water occurrence/seasonality,Open,1984,Present,Annual,Available
DOM,Dominican Republic,OpenStreetMap,OpenStreetMap,Vector roads/railways/waterways/landuse/buildings,Open,2004,Present,Continuous,Available
DOM,Dominican Republic,WDPA (Protected Planet),UNEP-WCMC & IUCN,Vector protected areas,Registration,2005,Present,Monthly,Available
DOM,Dominican Republic,WorldPop/GHS-POP,WorldPop / JRC (GHS-POP),Raster population density,Open,2000,Present,1–5 years,Available
DOM,Dominican Republic,FEMA NFHL,FEMA,Vector flood hazard zones,Open,2003,Present,Rolling,N/A
DOM,Dominican Republic,USGS NHD,USGS,Vector hydrography,Open,2000,Present,Rolling,N/A
DOM,Dominican Republic,NPMS,PHMSA,Vector pipelines,Restricted,2002,Present,Annual/Rolling,N/A
DOM,Dominican Republic,LiDAR DEM 1m,National/Provincial/State programs,Raster DEM (1m),Open/Restricted,2000,Present,Project-based,Varies
ECU,Ecuador,Sentinel-2 L2A,ESA via Microsoft Planetary Computer Earth Search,"Raster multispectral (13 bands, 10/20/60m)",Open,2015-06,Present,~5 days,Available
ECU,Ecuador,ESA WorldCover 10m,ESA (AWS S3),Raster land cover (10m),Open,2020,2021,Annual,Available
ECU,Ecuador,Copernicus DEM,Copernicus,Raster DEM (30m/90m),Registration,2020,Present,Irregular,Available
ECU,Ecuador,Global Surface Water (GSW),JRC/Google,Raster water occurrence/seasonality,Open,1984,Present,Annual,Available
ECU,Ecuador,OpenStreetMap,OpenStreetMap,Vector roads/railways/waterways/landuse/buildings,Open,2004,Present,Continuous,Available
ECU,Ecuador,WDPA (Protected Planet),UNEP-WCMC & IUCN,Vector protected areas,Registration,2005,Present,Monthly,Available
ECU,Ecuador,WorldPop/GHS-POP,WorldPop / JRC (GHS-POP),Raster population density,Open,2000,Present,1–5 years,Available
ECU,Ecuador,FEMA NFHL,FEMA,Vector flood hazard zones,Open,2003,Present,Rolling,N/A
ECU,Ecuador,USGS NHD,USGS,Vector hydrography,Open,2000,Present,Rolling,N/A
ECU,Ecuador,NPMS,PHMSA,Vector pipelines,Restricted,2002,Present,Annual/Rolling,N/A
ECU,Ecuador,LiDAR DEM 1m,National/Provincial/State programs,Raster DEM (1m),Open/Restricted,2000,Present,Project-based,Varies
EGY,Egypt,Sentinel-2 L2A,ESA via Microsoft Planetary Computer Earth Search,"Raster multispectral (13 bands, 10/20/60m)",Open,2015-06,Present,~5 days,Available
EGY,Egypt,ESA WorldCover 10m,ESA (AWS S3),Raster land cover (10m),Open,2020,2021,Annual,Available
EGY,Egypt,Copernicus DEM,Copernicus,Raster DEM (30m/90m),Registration,2020,Present,Irregular,Available
EGY,Egypt,Global Surface Water (GSW),JRC/Google,Raster water occurrence/seasonality,Open,1984,Present,Annual,Available
EGY,Egypt,OpenStreetMap,OpenStreetMap,Vector roads/railways/waterways/landuse/buildings,Open,2004,Present,Continuous,Available
EGY,Egypt,WDPA (Protected Planet),UNEP-WCMC & IUCN,Vector protected areas,Registration,2005,Present,Monthly,Available
EGY,Egypt,WorldPop/GHS-POP,WorldPop / JRC (GHS-POP),Raster population density,Open,2000,Present,1–5 years,Available
EGY,Egypt,FEMA NFHL,FEMA,Vector flood hazard zones,Open,2003,Present,Rolling,N/A
EGY,Egypt,USGS NHD,USGS,Vector hydrography,Open,2000,Present,Rolling,N/A
EGY,Egypt,NPMS,PHMSA,Vector pipelines,Restricted,2002,Present,Annual/Rolling,N/A
EGY,Egypt,LiDAR DEM 1m,National/Provincial/State programs,Raster DEM (1m),Open/Restricted,2000,Present,Project-based,Varies
SLV,El Salvador,Sentinel-2 L2A,ESA via Microsoft Planetary Computer Earth Search,"Raster multispectral (13 bands, 10/20/60m)",Open,2015-06,Present,~5 days,Available
SLV,El Salvador,ESA WorldCover 10m,ESA (AWS S3),Raster land cover (10m),Open,2020,2021,Annual,Available
SLV,El Salvador,Copernicus DEM,Copernicus,Raster DEM (30m/90m),Registration,2020,Present,Irregular,Available
SLV,El Salvador,Global Surface Water (GSW),JRC/Google,Raster water occurrence/seasonality,Open,1984,Present,Annual,Available
SLV,El Salvador,OpenStreetMap,OpenStreetMap,Vector roads/railways/waterways/landuse/buildings,Open,2004,Present,Continuous,Available
SLV,El Salvador,WDPA (Protected Planet),UNEP-WCMC & IUCN,Vector protected areas,Registration,2005,Present,Monthly,Available
SLV,El Salvador,WorldPop/GHS-POP,WorldPop / JRC (GHS-POP),Raster population density,Open,2000,Present,1–5 years,Available
SLV,El Salvador,FEMA NFHL,FEMA,Vector flood hazard zones,Open,2003,Present,Rolling,N/A
SLV,El Salvador,USGS NHD,USGS,Vector hydrography,Open,2000,Present,Rolling,N/A
SLV,El Salvador,NPMS,PHMSA,Vector pipelines,Restricted,2002,Present,Annual/Rolling,N/A
SLV,El Salvador,LiDAR DEM 1m,National/Provincial/State programs,Raster DEM (1m),Open/Restricted,2000,Present,Project-based,Varies
GNQ,Equatorial Guinea,Sentinel-2 L2A,ESA via Microsoft Planetary Computer Earth Search,"Raster multispectral (13 bands, 10/20/60m)",Open,2015-06,Present,~5 days,Available
GNQ,Equatorial Guinea,ESA WorldCover 10m,ESA (AWS S3),Raster land cover (10m),Open,2020,2021,Annual,Available
GNQ,Equatorial Guinea,Copernicus DEM,Copernicus,Raster DEM (30m/90m),Registration,2020,Present,Irregular,Available
GNQ,Equatorial Guinea,Global Surface Water (GSW),JRC/Google,Raster water occurrence/seasonality,Open,1984,Present,Annual,Available
GNQ,Equatorial Guinea,OpenStreetMap,OpenStreetMap,Vector roads/railways/waterways/landuse/buildings,Open,2004,Present,Continuous,Available
GNQ,Equatorial Guinea,WDPA (Protected Planet),UNEP-WCMC & IUCN,Vector protected areas,Registration,2005,Present,Monthly,Available
GNQ,Equatorial Guinea,WorldPop/GHS-POP,WorldPop / JRC (GHS-POP),Raster population density,Open,2000,Present,1–5 years,Available
GNQ,Equatorial Guinea,FEMA NFHL,FEMA,Vector flood hazard zones,Open,2003,Present,Rolling,N/A
GNQ,Equatorial Guinea,USGS NHD,USGS,Vector hydrography,Open,2000,Present,Rolling,N/A
GNQ,Equatorial Guinea,NPMS,PHMSA,Vector pipelines,Restricted,2002,Present,Annual/Rolling,N/A
GNQ,Equatorial Guinea,LiDAR DEM 1m,National/Provincial/State programs,Raster DEM (1m),Open/Restricted,2000,Present,Project-based,Varies
ERI,Eritrea,Sentinel-2 L2A,ESA via Microsoft Planetary Computer Earth Search,"Raster multispectral (13 bands, 10/20/60m)",Open,2015-06,Present,~5 days,Available
ERI,Eritrea,ESA WorldCover 10m,ESA (AWS S3),Raster land cover (10m),Open,2020,2021,Annual,Available
ERI,Eritrea,Copernicus DEM,Copernicus,Raster DEM (30m/90m),Registration,2020,Present,Irregular,Available
ERI,Eritrea,Global Surface Water (GSW),JRC/Google,Raster water occurrence/seasonality,Open,1984,Present,Annual,Available
ERI,Eritrea,OpenStreetMap,OpenStreetMap,Vector roads/railways/waterways/landuse/buildings,Open,2004,Present,Continuous,Available
ERI,Eritrea,WDPA (Protected Planet),UNEP-WCMC & IUCN,Vector protected areas,Registration,2005,Present,Monthly,Available
ERI,Eritrea,WorldPop/GHS-POP,WorldPop / JRC (GHS-POP),Raster population density,Open,2000,Present,1–5 years,Available
ERI,Eritrea,FEMA NFHL,FEMA,Vector flood hazard zones,Open,2003,Present,Rolling,N/A
ERI,Eritrea,USGS NHD,USGS,Vector hydrography,Open,2000,Present,Rolling,N/A
ERI,Eritrea,NPMS,PHMSA,Vector pipelines,Restricted,2002,Present,Annual/Rolling,N/A
ERI,Eritrea,LiDAR DEM 1m,National/Provincial/State programs,Raster DEM (1m),Open/Restricted,2000,Present,Project-based,Varies
EST,Estonia,Sentinel-2 L2A,ESA via Microsoft Planetary Computer Earth Search,"Raster multispectral (13 bands, 10/20/60m)",Open,2015-06,Present,~5 days,Available
EST,Estonia,ESA WorldCover 10m,ESA (AWS S3),Raster land cover (10m),Open,2020,2021,Annual,Available
EST,Estonia,Copernicus DEM,Copernicus,Raster DEM (30m/90m),Registration,2020,Present,Irregular,Available
EST,Estonia,Global Surface Water (GSW),JRC/Google,Raster water occurrence/seasonality,Open,1984,Present,Annual,Available
EST,Estonia,OpenStreetMap,OpenStreetMap,Vector roads/railways/waterways/landuse/buildings,Open,2004,Present,Continuous,Available
EST,Estonia,WDPA (Protected Planet),UNEP-WCMC & IUCN,Vector protected areas,Registration,2005,Present,Monthly,Available
EST,Estonia,WorldPop/GHS-POP,WorldPop / JRC (GHS-POP),Raster population density,Open,2000,Present,1–5 years,Available
EST,Estonia,FEMA NFHL,FEMA,Vector flood hazard zones,Open,2003,Present,Rolling,N/A
EST,Estonia,USGS NHD,USGS,Vector hydrography,Open,2000,Present,Rolling,N/A
EST,Estonia,NPMS,PHMSA,Vector pipelines,Restricted,2002,Present,Annual/Rolling,N/A
EST,Estonia,LiDAR DEM 1m,National/Provincial/State programs,Raster DEM (1m),Open/Restricted,2000,Present,Project-based,Varies
SWZ,Eswatini,Sentinel-2 L2A,ESA via Microsoft Planetary Computer Earth Search,"Raster multispectral (13 bands, 10/20/60m)",Open,2015-06,Present,~5 days,Available
SWZ,Eswatini,ESA WorldCover 10m,ESA (AWS S3),Raster land cover (10m),Open,2020,2021,Annual,Available
SWZ,Eswatini,Copernicus DEM,Copernicus,Raster DEM (30m/90m),Registration,2020,Present,Irregular,Available
SWZ,Eswatini,Global Surface Water (GSW),JRC/Google,Raster water occurrence/seasonality,Open,1984,Present,Annual,Available
SWZ,Eswatini,OpenStreetMap,OpenStreetMap,Vector roads/railways/waterways/landuse/buildings,Open,2004,Present,Continuous,Available
SWZ,Eswatini,WDPA (Protected Planet),UNEP-WCMC & IUCN,Vector protected areas,Registration,2005,Present,Monthly,Available
SWZ,Eswatini,WorldPop/GHS-POP,WorldPop / JRC (GHS-POP),Raster population density,Open,2000,Present,1–5 years,Available
SWZ,Eswatini,FEMA NFHL,FEMA,Vector flood hazard zones,Open,2003,Present,Rolling,N/A
SWZ,Eswatini,USGS NHD,USGS,Vector hydrography,Open,2000,Present,Rolling,N/A
SWZ,Eswatini,NPMS,PHMSA,Vector pipelines,Restricted,2002,Present,Annual/Rolling,N/A
SWZ,Eswatini,LiDAR DEM 1m,National/Provincial/State programs,Raster DEM (1m),Open/Restricted,2000,Present,Project-based,Varies
ETH,Ethiopia,Sentinel-2 L2A,ESA via Microsoft Planetary Computer Earth Search,"Raster multispectral (13 bands, 10/20/60m)",Open,2015-06,Present,~5 days,Available
ETH,Ethiopia,ESA WorldCover 10m,ESA (AWS S3),Raster land cover (10m),Open,2020,2021,Annual,Available
ETH,Ethiopia,Copernicus DEM,Copernicus,Raster DEM (30m/90m),Registration,2020,Present,Irregular,Available
ETH,Ethiopia,Global Surface Water (GSW),JRC/Google,Raster water occurrence/seasonality,Open,1984,Present,Annual,Available
ETH,Ethiopia,OpenStreetMap,OpenStreetMap,Vector roads/railways/waterways/landuse/buildings,Open,2004,Present,Continuous,Available
ETH,Ethiopia,WDPA (Protected Planet),UNEP-WCMC & IUCN,Vector protected areas,Registration,2005,Present,Monthly,Available
ETH,Ethiopia,WorldPop/GHS-POP,WorldPop / JRC (GHS-POP),Raster population density,Open,2000,Present,1–5 years,Available
ETH,Ethiopia,FEMA NFHL,FEMA,Vector flood hazard zones,Open,2003,Present,Rolling,N/A
ETH,Ethiopia,USGS NHD,USGS,Vector hydrography,Open,2000,Present,Rolling,N/A
ETH,Ethiopia,NPMS,PHMSA,Vector pipelines,Restricted,2002,Present,Annual/Rolling,N/A
ETH,Ethiopia,LiDAR DEM 1m,National/Provincial/State programs,Raster DEM (1m),Open/Restricted,2000,Present,Project-based,Varies
FLK,Falkland Islands (Malvinas),Sentinel-2 L2A,ESA via Microsoft Planetary Computer Earth Search,"Raster multispectral (13 bands, 10/20/60m)",Open,2015-06,Present,~5 days,Available
FLK,Falkland Islands (Malvinas),ESA WorldCover 10m,ESA (AWS S3),Raster land cover (10m),Open,2020,2021,Annual,Available
FLK,Falkland Islands (Malvinas),Copernicus DEM,Copernicus,Raster DEM (30m/90m),Registration,2020,Present,Irregular,Available
FLK,Falkland Islands (Malvinas),Global Surface Water (GSW),JRC/Google,Raster water occurrence/seasonality,Open,1984,Present,Annual,Available
FLK,Falkland Islands (Malvinas),OpenStreetMap,OpenStreetMap,Vector roads/railways/waterways/landuse/buildings,Open,2004,Present,Continuous,Available
FLK,Falkland Islands (Malvinas),WDPA (Protected Planet),UNEP-WCMC & IUCN,Vector protected areas,Registration,2005,Present,Monthly,Available
FLK,Falkland Islands (Malvinas),WorldPop/GHS-POP,WorldPop / JRC (GHS-POP),Raster population density,Open,2000,Present,1–5 years,Available
FLK,Falkland Islands (Malvinas),FEMA NFHL,FEMA,Vector flood hazard zones,Open,2003,Present,Rolling,N/A
FLK,Falkland Islands (Malvinas),USGS NHD,USGS,Vector hydrography,Open,2000,Present,Rolling,N/A
FLK,Falkland Islands (Malvinas),NPMS,PHMSA,Vector pipelines,Restricted,2002,Present,Annual/Rolling,N/A
FLK,Falkland Islands (Malvinas),LiDAR DEM 1m,National/Provincial/State programs,Raster DEM (1m),Open/Restricted,2000,Present,Project-based,Varies
FRO,Faroe Islands,Sentinel-2 L2A,ESA via Microsoft Planetary Computer Earth Search,"Raster multispectral (13 bands, 10/20/60m)",Open,2015-06,Present,~5 days,Available
FRO,Faroe Islands,ESA WorldCover 10m,ESA (AWS S3),Raster land cover (10m),Open,2020,2021,Annual,Available
FRO,Faroe Islands,Copernicus DEM,Copernicus,Raster DEM (30m/90m),Registration,2020,Present,Irregular,Available
FRO,Faroe Islands,Global Surface Water (GSW),JRC/Google,Raster water occurrence/seasonality,Open,1984,Present,Annual,Available
FRO,Faroe Islands,OpenStreetMap,OpenStreetMap,Vector roads/railways/waterways/landuse/buildings,Open,2004,Present,Continuous,Available
FRO,Faroe Islands,WDPA (Protected Planet),UNEP-WCMC & IUCN,Vector protected areas,Registration,2005,Present,Monthly,Available
FRO,Faroe Islands,WorldPop/GHS-POP,WorldPop / JRC (GHS-POP),Raster population density,Open,2000,Present,1–5 years,Available
FRO,Faroe Islands,FEMA NFHL,FEMA,Vector flood hazard zones,Open,2003,Present,Rolling,N/A
FRO,Faroe Islands,USGS NHD,USGS,Vector hydrography,Open,2000,Present,Rolling,N/A
FRO,Faroe Islands,NPMS,PHMSA,Vector pipelines,Restricted,2002,Present,Annual/Rolling,N/A
FRO,Faroe Islands,LiDAR DEM 1m,National/Provincial/State programs,Raster DEM (1m),Open/Restricted,2000,Present,Project-based,Varies
FJI,Fiji,Sentinel-2 L2A,ESA via Microsoft Planetary Computer Earth Search,"Raster multispectral (13 bands, 10/20/60m)",Open,2015-06,Present,~5 days,Available
FJI,Fiji,ESA WorldCover 10m,ESA (AWS S3),Raster land cover (10m),Open,2020,2021,Annual,Available
FJI,Fiji,Copernicus DEM,Copernicus,Raster DEM (30m/90m),Registration,2020,Present,Irregular,Available
FJI,Fiji,Global Surface Water (GSW),JRC/Google,Raster water occurrence/seasonality,Open,1984,Present,Annual,Available
FJI,Fiji,OpenStreetMap,OpenStreetMap,Vector roads/railways/waterways/landuse/buildings,Open,2004,Present,Continuous,Available
FJI,Fiji,WDPA (Protected Planet),UNEP-WCMC & IUCN,Vector protected areas,Registration,2005,Present,Monthly,Available
FJI,Fiji,WorldPop/GHS-POP,WorldPop / JRC (GHS-POP),Raster population density,Open,2000,Present,1–5 years,Available
FJI,Fiji,FEMA NFHL,FEMA,Vector flood hazard zones,Open,2003,Present,Rolling,N/A
FJI,Fiji,USGS NHD,USGS,Vector hydrography,Open,2000,Present,Rolling,N/A
FJI,Fiji,NPMS,PHMSA,Vector pipelines,Restricted,2002,Present,Annual/Rolling,N/A
FJI,Fiji,LiDAR DEM 1m,National/Provincial/State programs,Raster DEM (1m),Open/Restricted,2000,Present,Project-based,Varies
FIN,Finland,Sentinel-2 L2A,ESA via Microsoft Planetary Computer Earth Search,"Raster multispectral (13 bands, 10/20/60m)",Open,2015-06,Present,~5 days,Available
FIN,Finland,ESA WorldCover 10m,ESA (AWS S3),Raster land cover (10m),Open,2020,2021,Annual,Available
FIN,Finland,Copernicus DEM,Copernicus,Raster DEM (30m/90m),Registration,2020,Present,Irregular,Available
FIN,Finland,Global Surface Water (GSW),JRC/Google,Raster water occurrence/seasonality,Open,1984,Present,Annual,Available
FIN,Finland,OpenStreetMap,OpenStreetMap,Vector roads/railways/waterways/landuse/buildings,Open,2004,Present,Continuous,Available
FIN,Finland,WDPA (Protected Planet),UNEP-WCMC & IUCN,Vector protected areas,Registration,2005,Present,Monthly,Available
FIN,Finland,WorldPop/GHS-POP,WorldPop / JRC (GHS-POP),Raster population density,Open,2000,Present,1–5 years,Available
FIN,Finland,FEMA NFHL,FEMA,Vector flood hazard zones,Open,2003,Present,Rolling,N/A
FIN,Finland,USGS NHD,USGS,Vector hydrography,Open,2000,Present,Rolling,N/A
FIN,Finland,NPMS,PHMSA,Vector pipelines,Restricted,2002,Present,Annual/Rolling,N/A
FIN,Finland,LiDAR DEM 1m,National/Provincial/State programs,Raster DEM (1m),Open/Restricted,2000,Present,Project-based,Varies
FRA,France,Sentinel-2 L2A,ESA via Microsoft Planetary Computer Earth Search,"Raster multispectral (13 bands, 10/20/60m)",Open,2015-06,Present,~5 days,Available
FRA,France,ESA WorldCover 10m,ESA (AWS S3),Raster land cover (10m),Open,2020,2021,Annual,Available
FRA,France,Copernicus DEM,Copernicus,Raster DEM (30m/90m),Registration,2020,Present,Irregular,Available
FRA,France,Global Surface Water (GSW),JRC/Google,Raster water occurrence/seasonality,Open,1984,Present,Annual,Available
FRA,France,OpenStreetMap,OpenStreetMap,Vector roads/railways/waterways/landuse/buildings,Open,2004,Present,Continuous,Available
FRA,France,WDPA (Protected Planet),UNEP-WCMC & IUCN,Vector protected areas,Registration,2005,Present,Monthly,Available
FRA,France,WorldPop/GHS-POP,WorldPop / JRC (GHS-POP),Raster population density,Open,2000,Present,1–5 years,Available
FRA,France,FEMA NFHL,FEMA,Vector flood hazard zones,Open,2003,Present,Rolling,N/A
FRA,France,USGS NHD,USGS,Vector hydrography,Open,2000,Present,Rolling,N/A
FRA,France,NPMS,PHMSA,Vector pipelines,Restricted,2002,Present,Annual/Rolling,N/A
FRA,France,LiDAR DEM 1m,National/Provincial/State programs,Raster DEM (1m),Open/Restricted,2000,Present,Project-based,Varies
GUF,French Guiana,Sentinel-2 L2A,ESA via Microsoft Planetary Computer Earth Search,"Raster multispectral (13 bands, 10/20/60m)",Open,2015-06,Present,~5 days,Available
GUF,French Guiana,ESA WorldCover 10m,ESA (AWS S3),Raster land cover (10m),Open,2020,2021,Annual,Available
GUF,French Guiana,Copernicus DEM,Copernicus,Raster DEM (30m/90m),Registration,2020,Present,Irregular,Available
GUF,French Guiana,Global Surface Water (GSW),JRC/Google,Raster water occurrence/seasonality,Open,1984,Present,Annual,Available
GUF,French Guiana,OpenStreetMap,OpenStreetMap,Vector roads/railways/waterways/landuse/buildings,Open,2004,Present,Continuous,Available
GUF,French Guiana,WDPA (Protected Planet),UNEP-WCMC & IUCN,Vector protected areas,Registration,2005,Present,Monthly,Available
GUF,French Guiana,WorldPop/GHS-POP,WorldPop / JRC (GHS-POP),Raster population density,Open,2000,Present,1–5 years,Available
GUF,French Guiana,FEMA NFHL,FEMA,Vector flood hazard zones,Open,2003,Present,Rolling,N/A
GUF,French Guiana,USGS NHD,USGS,Vector hydrography,Open,2000,Present,Rolling,N/A
GUF,French Guiana,NPMS,PHMSA,Vector pipelines,Restricted,2002,Present,Annual/Rolling,N/A
GUF,French Guiana,LiDAR DEM 1m,National/Provincial/State programs,Raster DEM (1m),Open/Restricted,2000,Present,Project-based,Varies
